Ref,Val,Package,PosX,PosY,Rot,Side
"D1,""LED"",""LED_0805_2012Metric"",147.572608,-78.601006,-90.000000,top"
"D2,""LED"",""LED_0805_2012Metric"",147.565000,-83.817500,-90.000000,top"
"D3,""LED"",""LED_0805_2012Metric"",147.565000,-88.897500,-90.000000,top"
"D4,""LED"",""LED_0805_2012Metric"",147.565000,-93.977500,-90.000000,top"
"D5,""LED"",""LED_0805_2012Metric"",147.565000,-99.057500,-90.000000,top"
"D6,""LED"",""LED_0805_2012Metric"",147.565000,-104.137500,-90.000000,top"
"D7,""LED"",""LED_0805_2012Metric"",147.565000,-109.217500,-90.000000,top"
"D8,""LED"",""LED_0805_2012Metric"",147.565000,-114.297500,-90.000000,top"
"D9,""LED"",""LED_0805_2012Metric"",152.652608,-78.601006,-90.000000,top"
"D10,""LED"",""LED_0805_2012Metric"",152.645000,-83.817500,-90.000000,top"
"D11,""LED"",""LED_0805_2012Metric"",152.645000,-88.897500,-90.000000,top"
"D12,""LED"",""LED_0805_2012Metric"",152.645000,-93.977500,-90.000000,top"
"D13,""LED"",""LED_0805_2012Metric"",152.645000,-99.057500,-90.000000,top"
"D14,""LED"",""LED_0805_2012Metric"",152.645000,-104.137500,-90.000000,top"
"D15,""LED"",""LED_0805_2012Metric"",152.645000,-109.217500,-90.000000,top"
"D16,""LED"",""LED_0805_2012Metric"",152.645000,-114.297500,-90.000000,top"
"D17,""LED"",""LED_0805_2012Metric"",157.732608,-78.601006,-90.000000,top"
"D18,""LED"",""LED_0805_2012Metric"",162.812608,-78.601006,-90.000000,top"
"D19,""LED"",""LED_0805_2012Metric"",157.725000,-83.817500,-90.000000,top"
"D20,""LED"",""LED_0805_2012Metric"",162.805000,-83.817500,-90.000000,top"
"D21,""LED"",""LED_0805_2012Metric"",157.725000,-88.897500,-90.000000,top"
"D22,""LED"",""LED_0805_2012Metric"",162.805000,-88.897500,-90.000000,top"
"D23,""LED"",""LED_0805_2012Metric"",157.725000,-93.977500,-90.000000,top"
"D24,""LED"",""LED_0805_2012Metric"",162.805000,-93.977500,-90.000000,top"
"D25,""LED"",""LED_0805_2012Metric"",157.725000,-99.057500,-90.000000,top"
"D26,""LED"",""LED_0805_2012Metric"",162.805000,-99.057500,-90.000000,top"
"D27,""LED"",""LED_0805_2012Metric"",157.725000,-104.137500,-90.000000,top"
"D28,""LED"",""LED_0805_2012Metric"",162.805000,-104.137500,-90.000000,top"
"D29,""LED"",""LED_0805_2012Metric"",157.725000,-109.217500,-90.000000,top"
"D30,""LED"",""LED_0805_2012Metric"",162.805000,-109.217500,-90.000000,top"
"D31,""LED"",""LED_0805_2012Metric"",157.725000,-114.297500,-90.000000,top"
"D32,""LED"",""LED_0805_2012Metric"",162.805000,-114.297500,-90.000000,top"
"D33,""LED"",""LED_0805_2012Metric"",167.892608,-78.601006,-90.000000,top"
"D34,""LED"",""LED_0805_2012Metric"",172.972608,-78.601006,-90.000000,top"
"D35,""LED"",""LED_0805_2012Metric"",178.052608,-78.601006,-90.000000,top"
"D36,""LED"",""LED_0805_2012Metric"",183.132608,-78.601006,-90.000000,top"
"D37,""LED"",""LED_0805_2012Metric"",167.885000,-83.817500,-90.000000,top"
"D38,""LED"",""LED_0805_2012Metric"",172.965000,-83.817500,-90.000000,top"
"D39,""LED"",""LED_0805_2012Metric"",178.045000,-83.817500,-90.000000,top"
"D40,""LED"",""LED_0805_2012Metric"",183.125000,-83.817500,-90.000000,top"
"D41,""LED"",""LED_0805_2012Metric"",167.885000,-88.897500,-90.000000,top"
"D42,""LED"",""LED_0805_2012Metric"",172.965000,-88.897500,-90.000000,top"
"D43,""LED"",""LED_0805_2012Metric"",178.045000,-88.897500,-90.000000,top"
"D44,""LED"",""LED_0805_2012Metric"",183.125000,-88.897500,-90.000000,top"
"D45,""LED"",""LED_0805_2012Metric"",167.885000,-93.977500,-90.000000,top"
"D46,""LED"",""LED_0805_2012Metric"",172.965000,-93.977500,-90.000000,top"
"D47,""LED"",""LED_0805_2012Metric"",178.045000,-93.977500,-90.000000,top"
"D48,""LED"",""LED_0805_2012Metric"",183.125000,-93.977500,-90.000000,top"
"D49,""LED"",""LED_0805_2012Metric"",167.885000,-99.057500,-90.000000,top"
"D50,""LED"",""LED_0805_2012Metric"",172.965000,-99.057500,-90.000000,top"
"D51,""LED"",""LED_0805_2012Metric"",178.045000,-99.057500,-90.000000,top"
"D52,""LED"",""LED_0805_2012Metric"",183.125000,-99.057500,-90.000000,top"
"D53,""LED"",""LED_0805_2012Metric"",167.885000,-104.137500,-90.000000,top"
"D54,""LED"",""LED_0805_2012Metric"",172.965000,-104.137500,-90.000000,top"
"D55,""LED"",""LED_0805_2012Metric"",178.045000,-104.137500,-90.000000,top"
"D56,""LED"",""LED_0805_2012Metric"",183.125000,-104.137500,-90.000000,top"
"D57,""LED"",""LED_0805_2012Metric"",167.885000,-109.217500,-90.000000,top"
"D58,""LED"",""LED_0805_2012Metric"",172.965000,-109.217500,-90.000000,top"
"D59,""LED"",""LED_0805_2012Metric"",178.045000,-109.217500,-90.000000,top"
"D60,""LED"",""LED_0805_2012Metric"",183.125000,-109.217500,-90.000000,top"
"D61,""LED"",""LED_0805_2012Metric"",167.885000,-114.297500,-90.000000,top"
"D62,""LED"",""LED_0805_2012Metric"",172.965000,-114.297500,-90.000000,top"
"D63,""LED"",""LED_0805_2012Metric"",178.045000,-114.297500,-90.000000,top"
"D64,""LED"",""LED_0805_2012Metric"",183.125000,-114.297500,-90.000000,top"
